Column1;Column2;Column3;Column4;Column5
assez;enough;-;0.871972 0.862030;756
Qui;Who;-;0.972868 0.977922;753
bien .;.;-;0.570884 0.000902;749
Mary;Mary;-;0.966452 0.707271;749
-;you;-;0.282735 0.081587;732
f�te;party;-;0.975968 0.953064;731
mieux;better;-;0.611765 0.781955;728
pourquoi;why;-;0.932468 0.965054;718
l�gumes;vegetables;-;0.987448 0.983333;708
fen�tre;window;-;0.991549 0.980501;704
si;if;-;0.634806 0.811060;704
photo;camera;-;0.931727 0.270291;696
dictionnaire;dictionary;-;0.990028 1.000000;695
enfant;child;-;0.944293 0.948158;695
Ken;Ken;-;0.981612 0.991429;694
cuisine;kitchen;-;0.731013 0.945430;693
coin;corner;-;0.991416 0.980198;693
porte;door;-;0.974286 0.986975;682
nager;swim;-;0.936552 0.771591;679
bombe;bomb;-;0.996992 0.996992;663
ami;friend;-;0.886364 0.894737;663
fromage;cheese;-;0.919444 0.979290;662
t�t;early;-;0.883534 0.721311;660
Ma;My;-;0.925562 0.272765;659
nom;name;-;0.989474 0.928068;658
gare;station;-;0.976226 0.977679;657
me;me;-;0.489171 0.171511;655
dessert;dessert;-;0.998476 0.971810;655
de;a;-;0.080374 0.048134;654
sont;are;-;0.847854 0.481536;652
m�decin;doctor;-;0.973094 0.899171;651
b�b�;baby;-;0.984802 0.957164;648
de;the;-;0.079268 0.052025;645
repas;meal;-;0.730375 0.953938;642
l';the;-;0.246243 0.051541;639
cheveux;hair;-;0.934018 0.929927;637
besoin;need;-;0.917031 0.915698;630
quand;when;-;0.927729 0.647119;629
Cette;This;-;0.859917 0.414162;620
monde;world;-;0.880403 0.925758;611
chaleur;heat;-;0.963722 0.972930;611
phrase;sentence;-;0.993464 0.996721;608
allemand;German;-;1.000000 0.996716;607
encre;ink;-;0.988525 0.983687;603
Mais;But;-;0.981997 0.938967;600
Canada;Canada;-;0.990033 1.000000;596
Bill;Bill;-;0.973727 0.994966;593
bon;good;-;0.877976 0.458430;590
Comment;How;-;0.911765 0.696217;589
chanteur;singer;-;0.976783 0.743687;589
a�roport;airport;-;0.996610 0.989899;588
discours;speech;-;0.993232 0.976705;587
votre;your;-;0.903727 0.320485;582
boire;drink;-;0.810321 0.715517;581
Jane;Jane;-;0.996564 0.978078;580
nous;us;-;0.251754 0.884438;574
Chine;China;-;0.996485 0.992995;567
dit;said;-;0.596825 0.855842;564
c�ur;heart;-;0.957338 0.922697;561
erreur;mistake;-;0.898714 0.928571;559
phrases;sentences;-;0.998211 0.987611;558
bain;bath;-;0.983957 0.960000;552
anniversaire;birthday;-;0.992780 0.985663;550
probl�me;problem;-;0.973451 0.987433;550
riz;rice;-;0.987365 0.969858;547
sac;bag;-;0.987365 0.966431;547
Ce;This;-;0.654306 0.365397;547
noir;black;-;0.902479 0.966372;546
langue;language;-;0.968085 0.971530;546
Jim;Jim;-;1.000000 0.990909;545
mur;wall;-;0.900662 0.996337;544
ce;this;-;0.244898 0.223140;540
professeur;teacher;-;0.974729 0.919932;540
en;in;-;0.262384 0.098654;535
esp�re;hope;-;0.940246 0.940246;535
�uf;egg;-;0.957066 0.983456;535
course;race;-;0.958559 0.967273;532
oncle;uncle;-;0.992537 0.992537;532
mains;hands;-;0.981550 0.976147;532
beurre;butter;-;0.955036 0.961957;531
plus;more;-;0.422524 0.595051;529
Kate;Kate;-;0.990637 0.998113;529
menu;menu;-;0.992467 0.992467;527
c�l�bre;famous;-;0.986842 0.975836;525
Am�rique;America;-;0.975791 0.949275;524
oublie;forget;-;0.903448 0.607889;524
message;message;-;0.996190 0.994297;523
ciel;sky;-;0.992410 0.972119;523
Une;A;-;0.875421 0.292463;520
acheter;buy;-;0.952294 0.794793;519
Italie;Italy;-;1.000000 0.998069;517
manteau;coat;-;0.968105 0.964486;516
liste;list;-;1.000000 1.000000;515
peur;afraid;-;0.839607 0.872449;513
village;village;-;0.984615 0.996109;512
salade;salad;-;0.992248 0.992248;512
m�dicament;medicine;-;0.984556 0.940959;510
voir;see;-;0.928962 0.782209;510
arbre;tree;-;0.994129 0.990253;508
devrais;should;-;0.848485 0.522280;504
ce;what;-;0.227211 0.424936;501
toit;roof;-;0.967054 0.988119;499
bouteilles;bottles;-;0.978431 0.974609;499
o�;where;-;0.841216 0.869110;498
demand�;asked;-;0.903811 0.596407;498
police;police;-;0.990020 0.995984;496
John;John;-;0.966732 0.928571;494
derni�re;last;-;0.906077 0.748858;492
peux;ca;-;0.495431 0.620076;488
difficile;difficult;-;0.849387 0.952849;485
facilement;easily;-;0.975806 0.954635;484
fran�ais;French;-;0.906367 0.841739;484
poche;pocket;-;0.954545 0.966000;483
�tudiants;students;-;0.962151 0.977733;483
cinq;five;-;0.993827 0.948919;483
v�rit�;truth;-;0.995876 0.975758;483
coucher;bed;-;0.877737 0.619845;481
courses;shopping;-;0.902439 0.789819;481
avoir;have;-;0.287099 0.199076;474
par;by;-;0.710210 0.636608;473
que;that;-;0.148695 0.213063;473
mois;month;-;0.725038 0.945892;472
ma�tre;master;-;0.981250 0.951515;471
citron;lemon;-;0.995772 0.997881;471
d�j�;already;-;0.740157 0.896947;470
fleurs;flowers;-;0.983087 0.954825;465
sa;his;-;0.621151 0.241541;464
entre;between;-;0.914683 0.970526;461
encore;still;-;0.740741 0.848708;460
banane;banana;-;0.993506 1.000000;459
Qu';What;-;0.776817 0.346986;449
gens;people;-;0.925773 0.608401;449
exercice;exercise;-;0.942918 0.862669;446
v�g�tarien;vegetarian;-;0.995526 0.982340;445
pour;to;-;0.119073 0.050113;442
appareil;camera;-;0.944325 0.171262;441
ville;city;-;0.812155 0.956616;441
cr�dit;credit;-;0.844231 0.990971;439
dents;teeth;-;0.950000 0.993182;437
�ge;age;-;0.962555 0.979821;437
-;?;-;0.166474 0.004000;431
confiance;trust;-;0.732993 0.928879;431
Nous avons;We;-;0.957684 0.058647;430
qualit�;quality;-;0.972727 0.972727;428
d�sol�;sorry;-;0.946785 0.876797;427
peut;can;-;0.562667 0.371152;422
poids;weight;-;0.919390 0.972350;422
bien .;well .;-;0.320884 0.935556;421
�;the;-;0.089324 0.033876;420
peu;little;-;0.675283 0.544271;418
guitare;guitar;-;0.990499 1.000000;417
sauter;jump;-;0.956221 0.924276;415
r�gle;rule;-;0.953811 0.976359;413
projet;project;-;0.955711 0.995146;410
gouvernement;government;-;0.997561 1.000000;409
Londres;London;-;1.000000 0.995110;407
suis;'m;-;0.415811 0.508794;405
r�ve;dream;-;0.961995 0.904018;405
estomac;stomach;-;0.911964 1.000000;404
Tout;All;-;0.750929 0.779923;404
radio;radio;-;0.952830 0.990196;404
ces;these;-;0.868817 0.943925;404
costume;suit;-;0.957143 0.907449;402
C';It;-;0.501250 0.249689;401
est;'s;-;0.030830 0.236169;397
seau;bucket;-;1.000000 1.000000;395
pr�sident;president;-;0.965602 0.994937;393
plastique;plastic;-;0.918033 0.997455;392
garage;garage;-;1.000000 1.000000;392
dentiste;dentist;-;0.997449 1.000000;391
musique;music;-;0.987342 0.962963;390
cravate;tie;-;0.926366 0.994898;390
six;six;-;0.951100 0.932854;389
qui;who;-;0.473039 0.809224;386
jardin;garden;-;0.962594 0.960199;386
air;air;-;0.747082 0.890951;384
col�re;angry;-;0.916268 0.964736;383
ton;your;-;0.864560 0.210903;383
joue;plays;-;0.823656 0.878440;383
cuill�re;spoon;-;0.987047 0.997382;381
Que;What;-;0.758551 0.291345;377
semble;seems;-;0.864368 0.906024;376
carte;map;-;0.549925 0.876485;369
erreurs;mistakes;-;0.865566 0.787554;367
leur;their;-;0.808370 0.613712;367
riche;rich;-;0.950777 0.963255;367
araign�e;spider;-;0.983871 0.890511;366
parle;speaks;-;0.634783 0.928753;365
pays;country;-;0.888078 0.820225;365
dauphin;dolphin;-;0.997260 0.994536;364
bus;bus;-;0.991803 0.970588;363
aiguille;needle;-;0.989101 1.000000;363
papier;paper;-;0.955145 0.891626;362
Mayuko;Mayuko;-;0.925831 0.967914;362
lac;lake;-;0.983562 0.954787;359
diff�rence;difference;-;0.927273 0.939474;357
roman;novel;-;1.000000 0.994413;356
d�jeuner;breakfast;-;0.699411 0.262731;356
jus;juice;-;0.969780 0.961853;353
perdu;lost;-;0.921466 0.897959;352
id�e;idea;-;0.956522 0.919060;352
main;hand;-;0.972299 0.911688;351
beaucoup;lot;-;0.462351 0.793651;350
parfait;perfect;-;0.870000 0.920635;348
bruit;noise;-;0.935135 0.953168;346
voix;voice;-;0.982955 0.985755;346
�crire;write;-;0.930108 0.898701;346
d�ner;dinner;-;0.864662 0.796767;345
Puis;May;-;0.690763 0.754386;344
Mike;Mike;-;0.952381 0.997067;340
nouveau;new;-;0.882507 0.705637;338
tout;all;-;0.403823 0.423559;338
ne;not;-;0.100687 0.135559;337
conseill�;advised;-;0.896000 0.571429;336
�tre;be;-;0.733624 0.301345;336
voitures;cars;-;0.988131 0.982301;333
mot;word;-;0.970845 0.959654;333
M�me;Even;-;0.985207 0.948718;333
rue;street;-;0.973607 0.959538;332
Ne;Do;-;0.661355 0.420786;332
question;question;-;0.985163 0.932584;332
premi�re;first;-;0.911357 0.457580;329
sent;smells;-;0.828715 0.870370;329
nettoyer;clean;-;0.863517 0.746032;329
No�l;Christmas;-;0.996970 0.945402;329
choix;choice;-;0.948127 0.942693;329
�ufs;eggs;-;0.953623 0.843590;329
jambe;leg;-;0.993939 0.996960;328
parc;park;-;0.979104 0.984985;328
corps;body;-;0.953353 0.984940;327
Allemagne;Germany;-;0.984802 0.996923;324
fruits;fruit;-;0.952941 0.570423;324
soir;tonight;-;0.756440 0.830334;323
fait;made;-;0.101711 0.457265;321
tarte;pie;-;0.911681 0.891365;320
fatigu�;tired;-;0.871585 0.848404;319
�;�;-;0.946588 0.908832;319
d';of;-;0.153846 0.070401;318
mots;words;-;0.981481 0.919075;318
oreiller;pillow;-;1.000000 1.000000;317
petit;small;-;0.441958 0.752381;316
de;you;-;0.038835 0.035221;316
sous;under;-;0.918605 0.895184;316
travaille;works;-;0.945783 0.889518;314
secr�taire;secretary;-;1.000000 0.981250;314
orange;orange;-;0.926036 0.981191;313
chose;something;-;0.514003 0.146548;312
Oublie;Forget;-;0.745803 0.829333;311
Christophe Colomb;Christopher Columbus;-;1.000000 1.000000;311
situation;situation;-;0.990446 0.974922;311
mieux;best;-;0.261345 0.592381;311
chiens;dogs;-;0.987261 0.939394;310
sauce;sauce;-;0.996774 0.965625;309
hommes;men;-;0.947692 0.941896;308
femmes;women;-;0.959375 0.953416;307
suis;am;-;0.315195 0.616466;307
cl�;key;-;0.990291 0.965300;306
a;has;-;0.130398 0.505804;305
animal;animal;-;0.907186 0.977419;303
�quipe;team;-;1.000000 0.993443;303
aller;go;-;0.788512 0.504174;302
bureau;desk;-;0.775773 0.895833;301
excellent;excellent;-;0.949527 0.977273;301
d�licieux;delicious;-;0.879765 0.781250;300
Union;Union;-;0.940439 1.000000;300
expr�s;purpose;-;0.734644 0.931464;299
chasseur;hunter;-;0.980328 0.977124;299
rivi�re;river;-;0.983498 0.958199;298
sept;seven;-;0.967427 0.990000;297
esp�ranto;Esperanto;-;0.990000 0.996644;297
parfois;sometimes;-;0.936709 0.916409;296
attendre;wait;-;0.662921 0.806011;295
biblioth�que;library;-;0.964052 0.996622;295
triste;sad;-;0.879518 0.996587;292
livres;books;-;0.879154 0.906542;291
pont;bridge;-;0.979730 0.979730;290
huit;eight;-;0.969799 0.963333;289
n';n't;-;0.169601 0.032118;289
montre;watch;-;0.830460 0.878419;289
aider;help;-;0.917197 0.656036;288
amer;bitter;-;0.914013 0.844118;287
soleil;sun;-;0.831395 0.902208;286
que;I;-;0.089594 0.016094;285
ordinateur;computer;-;0.969283 0.965986;284
J�sus;Jesus;-;0.804533 0.986111;284
filles;girls;-;0.986111 0.982699;284
a;a;-;0.120992 0.020829;283
pluie;rain;-;0.946309 0.915584;282
Il a;He;-;0.915584 0.018054;282
que;you;-;0.088337 0.031320;281
temp�rature;temperature;-;0.975694 0.975694;281
longtemps;long;-;0.866873 0.679612;280
m�moire;memory;-;0.989399 0.989399;280
vu;saw;-;0.585624 0.767313;277
go�t;taste;-;0.488496 0.844037;276
parler;speak;-;0.712435 0.583864;275
doigt;finger;-;0.992780 0.951557;275
couvert;covered;-;0.759669 0.925926;275
fait;is;-;0.086819 0.020832;274
Marie;Mary;-;0.907285 0.258735;274
le;to;-;0.057238 0.031066;274
femme;wife;-;0.579618 0.840000;273
.;you .;-;0.000328 0.727273;272
rester;stay;-;0.957746 0.897690;272
Angleterre;England;-;1.000000 1.000000;271
for�t;forest;-;0.992674 1.000000;271
v�lo;bicycle;-;0.787172 0.810811;270
convaincre;convince;-;0.992647 0.981818;270
plage;beach;-;1.000000 1.000000;269
�trange;strange;-;0.953737 0.908475;268
pommes;apples;-;0.899329 0.930556;268
revenu;income;-;0.953405 0.866450;266
carte;card;-;0.394933 0.904437;265
bl�;wheat;-;0.967153 1.000000;265
dollars;dollars;-;0.988764 0.977778;264
de;is;-;0.032321 0.019995;263
semaines;weeks;-;0.984962 0.988679;262
Jack;Jack;-;0.988679 0.984962;262
sucr�;sweet;-;0.852941 0.890785;261
Europe;Europe;-;1.000000 1.000000;261
demanda;asked;-;0.877966 0.310180;259
soif;thirsty;-;0.962687 0.966292;258
la;to;-;0.035853 0.029252;258
vase;vase;-;1.000000 0.977273;258
guerre;war;-;0.992248 0.969697;256
Il;It;-;0.015881 0.159402;256
quelqu'un;someone;-;0.710306 0.920578;255
sal�e;salty;-;0.977011 0.980769;255
heures;hours;-;0.665796 0.822581;255
sombre;dark;-;0.933824 0.769697;254
voyage;trip;-;0.958491 0.927007;254
souviens;remember;-;0.792453 0.483685;252
baleine;whale;-;1.000000 0.996047;252
h�tel;hotel;-;0.988189 0.996032;251
presque;almost;-;0.886926 0.883803;251
faire;I;-;0.043722 0.014118;250
r�servation;reservation;-;0.957692 0.996000;249
espagnol;Spanish;-;0.889286 0.996000;249
Son;His;-;0.790476 0.514463;249
n';not;-;0.145540 0.099759;248
jours;days;-;0.815789 0.898551;248
go�t;tastes;-;0.437168 0.699717;247
de;.;-;0.030355 0.000297;247
�tang;pond;-;0.980080 0.949807;246
supermarch�;supermarket;-;1.000000 1.000000;245
dangereux;dangerous;-;0.931298 0.991870;244
fr�res;brothers;-;1.000000 0.991870;244
promesse;promise;-;0.976000 0.897059;244
changer;change;-;0.991837 0.964286;243
chaise;chair;-;0.991837 0.995902;243
arbres;trees;-;1.000000 0.937984;242
est;to;-;0.018793 0.027438;242
foule;crowd;-;1.000000 1.000000;242
progr�s;progress;-;0.798013 0.912879;241
t�l�vision;television;-;0.923077 0.933852;240
est;the;-;0.018638 0.019358;240
filet;net;-;1.000000 1.000000;239
animaux;animals;-;0.944444 0.971429;238
paix;peace;-;0.995816 0.944444;238
premier;first;-;0.897727 0.329624;237
aime;like;-;0.439703 0.236291;237
mari;husband;-;0.975207 0.940239;236
Meg;Meg;-;1.000000 0.925197;235
postale;postcard;-;0.943548 0.951220;234
contre;against;-;0.962963 0.782609;234
apprendre;learn;-;0.893130 0.943548;234
boit;drinks;-;0.835125 0.939516;233
important;important;-;0.932000 0.841155;233
langues;languages;-;0.991489 0.917323;233
M.;Mr;-;0.970588 0.954545;231
Il;is;-;0.014330 0.017563;231
pr�f�re;prefer;-;0.802083 0.724138;231
petit;little;-;0.323077 0.300781;231
il;it;-;0.080084 0.097748;230
histoire;story;-;0.680473 0.905512;230
�;a;-;0.048490 0.016781;228
frais;fresh;-;0.631579 0.870229;228
t�l�;TV;-;0.869732 0.938017;227
roi;king;-;1.000000 1.000000;227
possible;possible;-;0.961864 0.879845;227
avion;plane;-;0.978448 0.957806;227
peux;can;-;0.230457 0.199648;227
concentrer;concentrate;-;0.957806 1.000000;227
comme;as;-;0.524362 0.410909;226
ailes;wings;-;0.974138 0.995595;226
mus�e;museum;-;1.000000 1.000000;225
pr�sence;presence;-;0.991111 0.978070;223
juste;just;-;0.768166 0.519906;222
passer;spend;-;0.461378 0.651917;221
la;in;-;0.030712 0.040752;221
nous nous;we;-;0.948276 0.105566;220
T-shirt;T-shirt;-;0.990991 1.000000;220
regrette;regret;-;0.758621 0.940171;220
Hier;Yesterday;-;0.948052 0.943966;219
gar�ons;boys;-;0.990950 0.995455;219
autre;another;-;0.380454 0.762238;218
pr�t;ready;-;0.804428 0.838462;218
D�sol�;Sorry;-;0.841085 0.904167;217
promenade;walk;-;0.825095 0.642012;217
la;of;-;0.030156 0.048041;217
colline;hill;-;0.995413 0.990868;217
�vier;sink;-;1.000000 1.000000;216
dent;tooth;-;0.864000 1.000000;216
�;at;-;0.045938 0.240535;216
fait;did;-;0.068441 0.243792;216
vert;green;-;0.732203 0.818182;216
soldats;soldiers;-;1.000000 0.990826;216
dit;told;-;0.227513 0.639881;215
Donne;Give;-;0.866397 0.489703;214
mourir;die;-;0.955157 0.819231;213
d';to;-;0.103048 0.024150;213
fruit;fruit;-;0.946429 0.373239;212
a;the;-;0.090209 0.017019;211
bien;good;-;0.053296 0.163947;211
ennemi;enemy;-;0.995283 0.995283;211
d�cider;decide;-;0.901288 0.747331;210
Sa;His;-;0.815686 0.429752;208
pizza;pizza;-;0.912281 0.859504;208
honte;ashamed;-;0.908297 0.904348;208
examen;examination;-;0.511057 0.866667;208
Veuillez;Please;-;0.838057 0.300000;207
chose;thing;-;0.341021 0.708904;207
lune;moon;-;0.990385 1.000000;206
fort;strong;-;0.903084 0.883621;205
merci;thank;-;0.854167 0.773585;205
Keiko;Keiko;-;1.000000 1.000000;204
patient;patient;-;0.985507 1.000000;204
�;I;-;0.043173 0.011464;203
seul;alone;-;0.707317 0.678930;203
grand-m�re;grandmother;-;0.985437 0.990244;203
curiosit�;curiosity;-;0.995074 0.961905;202
Espagne;Spain;-;0.995074 1.000000;202
ch�vre;goat;-;1.000000 0.980583;202
mettre;put;-;0.592375 0.604790;202
cuisiner;cook;-;0.633229 0.479810;202
japonais;Japanese;-;0.885463 0.444690;201
jeune;young;-;0.823770 0.544715;201
.;it .;-;0.000242 0.930556;201
trouv�;found;-;0.971014 0.866379;201
promis;promised;-;0.926267 0.648387;201
le;I;-;0.041989 0.011351;201
cochon;pig;-;0.995050 0.980488;201
son;her;-;0.146306 0.199601;200
y;there;-;0.115674 0.375235;200
Br�sil;Brazil;-;0.970874 1.000000;200
visage;face;-;0.896861 0.809717;200
de;in;-;0.024456 0.036696;199
est;a;-;0.015454 0.014646;199
Nancy;Nancy;-;0.933962 0.994975;198
moins;less;-;0.736059 0.916667;198
mouchoir;handkerchief;-;1.000000 0.989950;197
que;to;-;0.061930 0.022336;197
couper;cut;-;0.788000 0.674658;197
fant�me;ghost;-;1.000000 1.000000;196
neige;snow;-;0.890411 0.942029;195
qu';he;-;0.156375 0.090613;195
compl�tement;completely;-;0.937500 0.902778;195
repas;meals;-;0.221843 0.773810;195
canap�;sofa;-;0.965174 0.955665;194
qu' il;he;-;0.575668 0.090149;194
du;the;-;0.163025 0.015648;194
lit;bed;-;0.763780 0.250000;194
jouer;play;-;0.657627 0.625806;194
dinosaure;dinosaur;-;1.000000 1.000000;193
grenier;attic;-;1.000000 1.000000;193
fumer;smoke;-;0.069151 0.620579;193
malade;ill;-;0.752941 0.880734;192
march�;market;-;0.421978 0.905660;192
chaque;every;-;0.676056 0.421053;192
farine;flour;-;0.868778 0.884793;192
